,Year,Month,Type,From,To,Date,Player,Position,Transaction
0,1987,5,trades,Giants  Giants,Vikings  Vikings,05/19,Chris Foote,,Traded
1,1987,5,trades,49ers  49ers,Seahawks  Seahawks,05/19,Jeff Kemp,,Traded
2,1987,5,trades,Patriots  Patriots,Vikings  Vikings,05/07,Rich Gannon,,Traded
0,1987,6,trades,Oilers  Oilers,Redskins  Redskins,06/23,Chris Dressel,,Traded
1,1987,6,trades,Chargers  Chargers,Rams  Rams,06/12,Buford McGee,,Traded
0,1987,8,trades,Bills  Bills,Chargers  Chargers,08/27,Martin Bayless,,Traded
1,1987,8,trades,Rams  Rams,Seahawks  Seahawks,08/26,Barry Bowman,,Traded
2,1987,8,trades,Broncos  Broncos,Bears  Bears,08/26,Bryan Wagner,,Traded
3,1987,8,trades,Saints  Saints,Chiefs  Chiefs,08/18,Jack Del Rio,,Traded
4,1987,8,trades,Raiders  Raiders,Cowboys  Cowboys,08/05,Rod Barksdale,,Traded
0,1987,9,trades,Eagles  Eagles,Falcons  Falcons,09/08,Greg Brown,,Traded
1,1987,9,trades,Falcons  Falcons,Eagles  Eagles,09/08,Mike Pitts,,Traded
2,1987,9,trades,Bills  Bills,Chargers  Chargers,09/01,David Brandon,,Traded
3,1987,9,trades,Packers  Packers,Oilers  Oilers,09/01,Greg Feasel,,Traded
0,1987,10,trades,Rams  Rams,Colts  Colts,10/31,Eric Dickerson,,Traded
1,1987,10,trades,Colts  Colts,Bills  Bills,10/31,Cornelius Bennett,,Traded
2,1987,10,trades,Browns  Browns,Saints  Saints,10/15,Robert Brannon,,Traded
3,1987,10,trades,Browns  Browns,Saints  Saints,10/15,Kirk Jones,,Traded
4,1987,10,trades,Saints  Saints,Buccaneers  Buccaneers,10/15,Jon Sutton,,Traded
5,1987,10,trades,Bears  Bears,Patriots  Patriots,10/13,Doug Flutie,,Traded
0,1987,11,trades,Seahawks  Seahawks,49ers  49ers,11/03,David Wyman,,Traded
0,1988,3,trades,Redskins  Redskins,Colts  Colts,03/29,Clarence Verdin,,Traded
1,1988,3,trades,Eagles  Eagles,Browns  Browns,03/24,Chris Pike,,Traded
0,1988,4,trades,Chargers  Chargers,Colts  Colts,04/26,Mark Herrmann,,Traded
1,1988,4,trades,Chargers  Chargers,Rams  Rams,04/25,Pete Holohan,,Traded
2,1988,4,trades,Cardinals  Cardinals,Seahawks  Seahawks,04/23,Kelly Stouffer,,Traded
3,1988,4,trades,Raiders  Raiders,Oilers  Oilers,04/22,Sean Jones,,Traded
4,1988,4,trades,Buccaneers  Buccaneers,Chiefs  Chiefs,04/07,Steve DeBerg,,Traded
5,1988,4,trades,Chiefs  Chiefs,Buccaneers  Buccaneers,04/07,Mark Robinson,,Traded
0,1988,5,trades,Jets  Jets,Raiders  Raiders,05/27,Russell Carter,,Traded
1,1988,5,trades,Buccaneers  Buccaneers,Seahawks  Seahawks,05/05,Ron Heller,,Traded
0,1988,6,trades,Bills  Bills,Buccaneers  Buccaneers,06/14,Eugene Marve,,Traded
0,1988,7,trades,Bears  Bears,Raiders  Raiders,07/28,Willie Gault,,Traded
1,1988,7,trades,Cardinals  Cardinals,Broncos  Broncos,07/21,Mike Ruether,,Traded
0,1988,8,trades,Browns  Browns,Patriots  Patriots,08/29,Mike Baab,,Traded
1,1988,8,trades,Chargers  Chargers,Patriots  Patriots,08/22,Thomas Benson,,Traded
2,1988,8,trades,Seahawks  Seahawks,Eagles  Eagles,08/22,Ron Heller,,Traded
3,1988,8,trades,Raiders  Raiders,Falcons  Falcons,08/22,Jessie Hester,,Traded
4,1988,8,trades,Oilers  Oilers,Raiders  Raiders,08/16,Jeff Gossett,,Traded
5,1988,8,trades,Chargers  Chargers,Raiders  Raiders,08/01,Jim Lachey,,Traded
0,1988,9,trades,Bills  Bills,Cardinals  Cardinals,09/21,Roland Mitchell,,Traded
1,1988,9,trades,Cardinals  Cardinals,Bills  Bills,09/21,Leonard Smith,,Traded
2,1988,9,trades,Raiders  Raiders,Redskins  Redskins,09/07,Jim Lachey,,Traded
3,1988,9,trades,Redskins  Redskins,Raiders  Raiders,09/07,Jay Schroeder,,Traded
0,1988,10,trades,Raiders  Raiders,Chargers  Chargers,10/11,Napoleon McCallum,,Traded
1,1988,10,trades,Colts  Colts,Eagles  Eagles,10/05,Ron Solt,,Traded
0,1989,4,trades,Eagles  Eagles,Saints  Saints,04/24,Bobby Morse,,Traded
1,1989,4,trades,Redskins  Redskins,Packers  Packers,04/23,Erik Affholter,,Traded
2,1989,4,trades,Browns  Browns,Redskins  Redskins,04/23,Earnest Byner,,Traded
3,1989,4,trades,Steelers  Steelers,Vikings  Vikings,04/23,Mike Merriweather,,Traded
4,1989,4,trades,Redskins  Redskins,Browns  Browns,04/23,Mike Oliphant,,Traded
5,1989,4,trades,Falcons  Falcons,Redskins  Redskins,04/23,Gerald Riggs,,Traded
6,1989,4,trades,Cowboys  Cowboys,Raiders  Raiders,04/23,Steve Wisniewski,,Traded
7,1989,4,trades,Packers  Packers,Redskins  Redskins,04/23,Jeff Graham,,Traded
0,1989,5,trades,Cardinals  Cardinals,Broncos  Broncos,05/30,David Treadwell,,Traded
0,1989,6,trades,Cowboys  Cowboys,Giants  Giants,06/05,Steve DeOssie,,Traded
0,1989,7,trades,Lions  Lions,Seahawks  Seahawks,07/29,Curt Singer,,Traded
1,1989,7,trades,Cowboys  Cowboys,Seahawks  Seahawks,07/25,Daryle Smith,,Traded
0,1989,8,trades,Lions  Lions,Seahawks  Seahawks,08/31,James Jones,,Traded
1,1989,8,trades,Seahawks  Seahawks,Lions  Lions,08/31,Terry Taylor,,Traded
2,1989,8,trades,Chargers  Chargers,Redskins  Redskins,08/30,Ralf Mojsiejenko,,Traded
3,1989,8,trades,Redskins  Redskins,Cowboys  Cowboys,08/29,Dean Hamel,,Traded
4,1989,8,trades,Cowboys  Cowboys,Colts  Colts,08/22,Zefross Moss,,Traded
5,1989,8,trades,Lions  Lions,Rams  Rams,08/18,Pat Carter,,Traded
6,1989,8,trades,Bears  Bears,Chargers  Chargers,08/18,Jim McMahon,,Traded
7,1989,8,trades,Cowboys  Cowboys,Dolphins  Dolphins,08/07,Scott Secules,,Traded
0,1989,9,trades,Buccaneers  Buccaneers,Broncos  Broncos,09/06,Ron Holmes,,Traded
1,1989,9,trades,Jets  Jets,Falcons  Falcons,09/04,Guy Bingham,,Traded
0,1989,10,trades,Chargers  Chargers,Colts  Colts,10/17,Chip Banks,,Traded
1,1989,10,trades,Cowboys  Cowboys,Chargers  Chargers,10/17,Darrin Nelson,,Traded
2,1989,10,trades,Cowboys  Cowboys,Chiefs  Chiefs,10/17,Steve Pelluer,,Traded
3,1989,10,trades,Vikings  Vikings,Cowboys  Cowboys,10/13,Issiac Holt,,Traded
4,1989,10,trades,Vikings  Vikings,Cowboys  Cowboys,10/13,David Howard,,Traded
5,1989,10,trades,Vikings  Vikings,Cowboys  Cowboys,10/13,Darrin Nelson,,Traded
6,1989,10,trades,Cowboys  Cowboys,Vikings  Vikings,10/13,Herschel Walker,,Traded
7,1989,10,trades,Vikings  Vikings,Cowboys  Cowboys,10/13,Jesse Solomon,,Traded
0,1990,4,trades,Chargers  Chargers,Raiders  Raiders,04/27,Napoleon McCallum,,Traded
1,1990,4,trades,49ers  49ers,Dolphins  Dolphins,04/23,Tim McKyer,,Traded
2,1990,4,trades,Chargers  Chargers,Buccaneers  Buccaneers,04/22,Gary Anderson,,Traded
3,1990,4,trades,Colts  Colts,Falcons  Falcons,04/22,Chris Hinton,,Traded
4,1990,4,trades,Colts  Colts,Falcons  Falcons,04/22,Andre Rison,,Traded
5,1990,4,trades,Raiders  Raiders,Cowboys  Cowboys,04/22,Stan Smagala,,Traded
6,1990,4,trades,49ers  49ers,Cowboys  Cowboys,04/19,Terrence Flagler,,Traded
7,1990,4,trades,49ers  49ers,Cowboys  Cowboys,04/19,Danny Stubbs,,Traded
0,1990,5,trades,Chargers  Chargers,Raiders  Raiders,05/04,Jamie Holland,,Traded
1,1990,5,trades,Lions  Lions,Rams  Rams,05/02,Chuck Long,,Traded
0,1990,7,trades,Colts  Colts,Buccaneers  Buccaneers,07/31,Chris Chandler,,Traded
0,1990,8,trades,Cardinals  Cardinals,Cowboys  Cowboys,08/29,Rob Awalt,,Traded
1,1990,8,trades,Cardinals  Cardinals,Chargers  Chargers,08/29,Mike Zandofsky,,Traded
2,1990,8,trades,Falcons  Falcons,Seahawks  Seahawks,08/28,Ronnie Lee,,Traded
3,1990,8,trades,Bengals  Bengals,Jets  Jets,08/27,Joe Kelly,,Traded
4,1990,8,trades,Jets  Jets,Bengals  Bengals,08/27,Reggie Rembert,,Traded
5,1990,8,trades,Cowboys  Cowboys,Broncos  Broncos,08/24,Dave Widell,,Traded
6,1990,8,trades,Steelers  Steelers,Redskins  Redskins,08/23,Tim Johnson,,Traded
7,1990,8,trades,Cardinals  Cardinals,Bengals  Bengals,08/21,Carl Carter,,Traded
8,1990,8,trades,Falcons  Falcons,Lions  Lions,08/21,Greg Paterra,,Traded
9,1990,8,trades,Raiders  Raiders,Cowboys  Cowboys,08/20,Dale Hellestrae,,Traded
10,1990,8,trades,Broncos  Broncos,Cardinals  Cardinals,08/15,Dave Little,,Traded
11,1990,8,trades,Colts  Colts,Buccaneers  Buccaneers,08/06,Chris Chandler,,Traded
0,1990,9,trades,Cowboys  Cowboys,Saints  Saints,09/25,Steve Walsh,,Traded
1,1990,9,trades,Lions  Lions,Redskins  Redskins,09/13,Eric Williams,,Traded
2,1990,9,trades,Raiders  Raiders,Cowboys  Cowboys,09/03,John Gesek,,Traded
3,1990,9,trades,Buccaneers  Buccaneers,Saints  Saints,09/03,Robert Goff,,Traded
4,1990,9,trades,Oilers  Oilers,Cowboys  Cowboys,09/03,Alonzo Highsmith,,Traded
5,1990,9,trades,Falcons  Falcons,Dolphins  Dolphins,09/03,Shawn Lee,,Traded
6,1990,9,trades,Buccaneers  Buccaneers,Bengals  Bengals,09/01,Rod Jones,,Traded
7,1990,9,trades,Bengals  Bengals,Buccaneers  Buccaneers,09/01,Jim Skow,,Traded
0,1990,10,trades,Raiders  Raiders,Seahawks  Seahawks,10/16,Vann McElroy,,Traded
1,1990,10,trades,Jets  Jets,Raiders  Raiders,10/15,Alex Gordon,,Traded
2,1990,10,trades,Raiders  Raiders,Jets  Jets,10/15,Dennis Price,,Traded
3,1990,10,trades,Packers  Packers,Browns  Browns,10/09,Brent Fullwood,,Traded
0,1991,1,trades,Bears  Bears,Dolphins  Dolphins,01/31,Vestee Jackson,,Traded
1,1991,1,trades,Dolphins  Dolphins,Bears  Bears,01/31,Eric Kumerow,,Traded
2,1991,1,trades,Seahawks  Seahawks,Jets  Jets,01/31,Ron Mattes,,Traded
0,1991,2,trades,Chiefs  Chiefs,Jets  Jets,02/01,Irv Eatman,,Traded
0,1991,4,trades,Rams  Rams,Broncos  Broncos,04/21,Gaston Green,,Traded
1,1991,4,trades,Dolphins  Dolphins,Falcons  Falcons,04/21,Tim McKyer,,Traded
