,Year,Month,Type,From,To,Date,Player,Position,Transaction
23,1999,2,signings,--,Raiders  Raiders,02/23,Isaac Davis,,Free Agent Signing
24,1999,2,signings,Giants  Giants,Giants  Giants,02/23,Andy Haase,,Exclusive Rights Signing
0,1999,3,signings,Lions  Lions,Lions  Lions,03/31,David Sloan,,Unrestricted Free Agent Signing
1,1999,3,signings,Bengals  Bengals,Bengals  Bengals,03/31,James Hundon,,Exclusive Rights Signing
2,1999,3,signings,Packers  Packers,Packers  Packers,03/31,Brian Manning,,Exclusive Rights Signing
3,1999,3,signings,Packers  Packers,Packers  Packers,03/31,Jim Nelson,,Exclusive Rights Signing
4,1999,3,signings,--,Chargers  Chargers,03/31,Fred McCrary,,Free Agent Signing
5,1999,3,signings,Steelers  Steelers,Steelers  Steelers,03/31,Bobby Shaw,,Exclusive Rights Signing
6,1999,3,signings,Titans  Titans,Titans  Titans,03/31,Eddie Robinson,,Unrestricted Free Agent Signing
7,1999,3,signings,Jets  Jets,Jets  Jets,03/30,John Hall,,Exclusive Rights Signing
8,1999,3,signings,Eagles  Eagles,Eagles  Eagles,03/30,Aaron Hayden,,Unrestricted Free Agent Signing
9,1999,3,signings,--,Cardinals  Cardinals,03/30,Joe Nedney,,Free Agent Signing
10,1999,3,signings,Panthers  Panthers,Panthers  Panthers,03/30,Steve Lofton,,Unrestricted Free Agent Signing
11,1999,3,signings,Ravens  Ravens,Colts  Colts,03/30,Sale Isaia,,Unrestricted Free Agent Signing
12,1999,3,signings,--,Vikings  Vikings,03/30,Corey Miller,,Free Agent Signing
13,1999,3,signings,Ravens  Ravens,Dolphins  Dolphins,03/29,Roosevelt Potts,,Unrestricted Free Agent Signing
14,1999,3,signings,Lions  Lions,Cardinals  Cardinals,03/29,Rob Fredrickson,,Unrestricted Free Agent Signing
15,1999,3,signings,Falcons  Falcons,Falcons  Falcons,03/29,Ed Smith,,Exclusive Rights Signing
16,1999,3,signings,Giants  Giants,Falcons  Falcons,03/29,Greg Bishop,,Unrestricted Free Agent Signing
17,1999,3,signings,Falcons  Falcons,Falcons  Falcons,03/29,Jose Portilla,,Exclusive Rights Signing
18,1999,3,signings,--,Bills  Bills,03/29,Eric Stocz,,Free Agent Signing
19,1999,3,signings,--,Jets  Jets,03/29,Erik Norgard,,Free Agent Signing
20,1999,3,signings,Seahawks  Seahawks,Seahawks  Seahawks,03/29,Brian Blades,,Unrestricted Free Agent Signing
21,1999,3,signings,Jets  Jets,Jets  Jets,03/26,Kerry Jenkins,,Exclusive Rights Signing
22,1999,3,signings,--,Seahawks  Seahawks,03/26,Dedric Mathis,,Free Agent Signing
23,1999,3,signings,Jaguars  Jaguars,Browns  Browns,03/26,John Jurkovic,,Unrestricted Free Agent Signing
24,1999,3,signings,Vikings  Vikings,Vikings  Vikings,03/26,Anthony Bass,,Exclusive Rights Signing
0,1999,4,signings,--,Cardinals  Cardinals,04/30,Justin Lucas,,Free Agent Signing
1,1999,4,signings,Cowboys  Cowboys,Cowboys  Cowboys,04/30,Mike Kiselak,,Exclusive Rights Signing
2,1999,4,signings,--,Cardinals  Cardinals,04/30,Clarence Williams,,Free Agent Signing
3,1999,4,signings,--,Broncos  Broncos,04/30,Jeff Brohm,,Free Agent Signing
4,1999,4,signings,Cardinals  Cardinals,Cardinals  Cardinals,04/30,Jerome Daniels,,Exclusive Rights Signing
5,1999,4,signings,--,Broncos  Broncos,04/30,Ryan Christopherson,,Free Agent Signing
6,1999,4,signings,--,Cardinals  Cardinals,04/30,Tony Hamler,,Free Agent Signing
7,1999,4,signings,Raiders  Raiders,Packers  Packers,04/30,Mike Morton,,Unrestricted Free Agent Signing
8,1999,4,signings,Dolphins  Dolphins,Dolphins  Dolphins,04/30,Olindo Mare,,Exclusive Rights Signing
9,1999,4,signings,Vikings  Vikings,Vikings  Vikings,04/30,Matt Hatchette,,Exclusive Rights Signing
10,1999,4,signings,--,Cardinals  Cardinals,04/30,Ernest Dye,,Free Agent Signing
11,1999,4,signings,--,Vikings  Vikings,04/30,Cory Withrow,,Free Agent Signing
12,1999,4,signings,--,Raiders  Raiders,04/30,Charles Mincy,,Free Agent Signing
13,1999,4,signings,--,Cowboys  Cowboys,04/30,Ryan Neufeld,,Free Agent Signing
14,1999,4,signings,--,Rams  Rams,04/30,Willie Jones,,Free Agent Signing
15,1999,4,signings,--,Cowboys  Cowboys,04/30,Robert Newkirk,,Free Agent Signing
16,1999,4,signings,--,Cowboys  Cowboys,04/30,Billy Gustin,,Free Agent Signing
17,1999,4,signings,--,Vikings  Vikings,04/30,Don Morgan,,Free Agent Signing
18,1999,4,signings,--,Cowboys  Cowboys,04/30,Duane Hawthorne,,Free Agent Signing
19,1999,4,signings,--,Cowboys  Cowboys,04/30,Gabe Lindstrom,,Free Agent Signing
20,1999,4,signings,--,Cowboys  Cowboys,04/30,Denvis Manns,,Free Agent Signing
21,1999,4,signings,--,Cowboys  Cowboys,04/30,Brian Waters,,Free Agent Signing
22,1999,4,signings,--,Cowboys  Cowboys,04/30,Alan Ricard,,Free Agent Signing
23,1999,4,signings,--,Bengals  Bengals,04/28,Michael Basnight,,Free Agent Signing
24,1999,4,signings,--,Lions  Lions,04/28,Nakia Codie,,Free Agent Signing
0,1999,5,signings,Falcons  Falcons,Falcons  Falcons,05/25,Chris Bayne,,Exclusive Rights Signing
1,1999,5,signings,Browns  Browns,Browns  Browns,05/21,Steve Gordon,,Exclusive Rights Signing
2,1999,5,signings,Giants  Giants,Eagles  Eagles,05/21,Lonnie Palelei,,Unrestricted Free Agent Signing
3,1999,5,signings,--,Raiders  Raiders,05/21,Reggie Doster,,Free Agent Signing
4,1999,5,signings,--,Saints  Saints,05/20,Corey Harris,,Free Agent Signing
5,1999,5,signings,--,Saints  Saints,05/20,Bryan LaBelle,,Free Agent Signing
6,1999,5,signings,Browns  Browns,Browns  Browns,05/20,Orlando Bobo,,Exclusive Rights Signing
7,1999,5,signings,--,Giants  Giants,05/19,Fred Brock,,Free Agent Signing
8,1999,5,signings,--,Chargers  Chargers,05/19,Albert Fontenot,,Free Agent Signing
9,1999,5,signings,--,Vikings  Vikings,05/18,Trezelle Jenkins,,Free Agent Signing
10,1999,5,signings,Cardinals  Cardinals,Cardinals  Cardinals,05/17,Rashod Swinger,,Exclusive Rights Signing
11,1999,5,signings,--,Saints  Saints,05/17,Ryan Yarborough,,Free Agent Signing
12,1999,5,signings,--,Saints  Saints,05/17,Phil Clarke,,Free Agent Signing
13,1999,5,signings,Panthers  Panthers,Panthers  Panthers,05/17,Fred Lane,,Exclusive Rights Signing
14,1999,5,signings,Ravens  Ravens,Ravens  Ravens,05/17,Corey Harris,,Unrestricted Free Agent Signing
15,1999,5,signings,--,Falcons  Falcons,05/17,Cornell Green,,Free Agent Signing
16,1999,5,signings,Ravens  Ravens,Ravens  Ravens,05/14,Lional Dalton,,Exclusive Rights Signing
17,1999,5,signings,Ravens  Ravens,Ravens  Ravens,05/14,Spencer Folau,,Exclusive Rights Signing
18,1999,5,signings,--,Vikings  Vikings,05/13,John Henry Mills,,Free Agent Signing
19,1999,5,signings,Cardinals  Cardinals,Browns  Browns,05/13,Jamir Miller,,Unrestricted Free Agent Signing
20,1999,5,signings,Redskins  Redskins,Redskins  Redskins,05/13,James Thrash,,Exclusive Rights Signing
21,1999,5,signings,Redskins  Redskins,Redskins  Redskins,05/13,David Hoelscher,,Exclusive Rights Signing
22,1999,5,signings,--,Chiefs  Chiefs,05/13,Cris Dishman,,Free Agent Signing
23,1999,5,signings,Titans  Titans,Titans  Titans,05/13,Bruce Matthews,,Unrestricted Free Agent Signing
24,1999,5,signings,--,Chargers  Chargers,05/12,Jon Haskins,,Free Agent Signing
0,1999,6,signings,--,Packers  Packers,06/30,Desmond Howard,,Free Agent Signing
1,1999,6,signings,--,Giants  Giants,06/30,Raymond Priester,,Free Agent Signing
2,1999,6,signings,--,Giants  Giants,06/30,Francesco Biancamano,,Free Agent Signing
3,1999,6,signings,--,Seahawks  Seahawks,06/30,Scott Fields,,Free Agent Signing
4,1999,6,signings,Jets  Jets,Jets  Jets,06/29,Jason Ferguson,,Exclusive Rights Signing
5,1999,6,signings,--,Saints  Saints,06/29,Tommy Barnhardt,,Free Agent Signing
6,1999,6,signings,Bears  Bears,Bears  Bears,06/29,Bryan Robinson,,Exclusive Rights Signing
7,1999,6,signings,Giants  Giants,Giants  Giants,06/28,George Williams,,Exclusive Rights Signing
8,1999,6,signings,Rams  Rams,Rams  Rams,06/25,Charlie Clemons,,Exclusive Rights Signing
9,1999,6,signings,--,Seahawks  Seahawks,06/25,James Willis,,Free Agent Signing
10,1999,6,signings,Giants  Giants,Giants  Giants,06/25,Jason Whittle,,Exclusive Rights Signing
11,1999,6,signings,Cowboys  Cowboys,Cowboys  Cowboys,06/25,Randall Godfrey,,Asked to Re-Sign
12,1999,6,signings,Patriots  Patriots,Patriots  Patriots,06/24,Heath Irwin,,Asked to Re-Sign
13,1999,6,signings,Browns  Browns,Browns  Browns,06/24,Brandon Sanders,,Exclusive Rights Signing
14,1999,6,signings,Panthers  Panthers,Panthers  Panthers,06/24,Luther Broughton,,Exclusive Rights Signing
15,1999,6,signings,--,Panthers  Panthers,06/24,Antonio Anderson,,Free Agent Signing
16,1999,6,signings,--,Redskins  Redskins,06/23,Chris Wing,,Free Agent Signing
17,1999,6,signings,--,Ravens  Ravens,06/23,Justin Armour,,Free Agent Signing
18,1999,6,signings,Giants  Giants,Giants  Giants,06/23,Percy Ellsworth,,Asked to Re-Sign
19,1999,6,signings,--,Cowboys  Cowboys,06/23,Dale Hellestrae,,Free Agent Signing
20,1999,6,signings,--,Giants  Giants,06/23,Tre Thomas,,Free Agent Signing
21,1999,6,signings,Titans  Titans,Titans  Titans,06/23,Jon Runyan,,Asked to Re-Sign
22,1999,6,signings,Jets  Jets,Bengals  Bengals,06/22,Matt O'Dwyer,,Unrestricted Free Agent Signing
23,1999,6,signings,Seahawks  Seahawks,Seahawks  Seahawks,06/22,Hillary Butler,,Exclusive Rights Signing
24,1999,6,signings,Packers  Packers,Packers  Packers,06/21,Derrick Mayes,,Asked to Re-Sign
0,1999,7,signings,Dolphins  Dolphins,Dolphins  Dolphins,07/31,Oronde Gadsden,,Exclusive Rights Signing
1,1999,7,signings,--,Chiefs  Chiefs,07/31,Fred McAfee,,Free Agent Signing
2,1999,7,signings,--,Cowboys  Cowboys,07/30,Alonzo Spellman,,Free Agent Signing
3,1999,7,signings,Saints  Saints,Saints  Saints,07/30,Sammy Knight,,Exclusive Rights Signing
4,1999,7,signings,Cardinals  Cardinals,Cardinals  Cardinals,07/30,Tony McCombs,,Exclusive Rights Signing
5,1999,7,signings,Patriots  Patriots,Patriots  Patriots,07/30,Anthony Ladd,,Exclusive Rights Signing
6,1999,7,signings,Patriots  Patriots,Patriots  Patriots,07/30,Shawn Stuckey,,Exclusive Rights Signing
7,1999,7,signings,49ers  49ers,49ers  49ers,07/30,Zack Bronson,,Exclusive Rights Signing
8,1999,7,signings,Buccaneers  Buccaneers,Buccaneers  Buccaneers,07/30,Shelton Quarles,,Exclusive Rights Signing
9,1999,7,signings,--,Buccaneers  Buccaneers,07/30,Alphonso Roundtree,,Free Agent Signing
10,1999,7,signings,--,Redskins  Redskins,07/29,Junior Lord,,Free Agent Signing
11,1999,7,signings,--,Packers  Packers,07/29,Anthony Davis,,Free Agent Signing
12,1999,7,signings,--,Bears  Bears,07/29,Brian Manning,,Free Agent Signing
13,1999,7,signings,--,Chargers  Chargers,07/29,Kendel Shello,,Free Agent Signing
14,1999,7,signings,Ravens  Ravens,Ravens  Ravens,07/29,Tony Vinson,,Exclusive Rights Signing
15,1999,7,signings,Titans  Titans,Titans  Titans,07/29,George McCullough,,Exclusive Rights Signing
16,1999,7,signings,Titans  Titans,Titans  Titans,07/29,Isaac Byrd,,Exclusive Rights Signing
17,1999,7,signings,Ravens  Ravens,Ravens  Ravens,07/29,Larry Fitzpatrick,,Exclusive Rights Signing
18,1999,7,signings,Giants  Giants,Giants  Giants,07/29,Amani Toomer,,Asked to Re-Sign
19,1999,7,signings,Seahawks  Seahawks,Seahawks  Seahawks,07/29,Jon Kitna,,Exclusive Rights Signing
20,1999,7,signings,Giants  Giants,Giants  Giants,07/28,Roman Oben,,Asked to Re-Sign
21,1999,7,signings,Saints  Saints,Saints  Saints,07/28,Brett Bech,,Exclusive Rights Signing
22,1999,7,signings,--,Titans  Titans,07/28,Jeremaine Copeland,,Free Agent Signing
23,1999,7,signings,--,Titans  Titans,07/28,Neil O'Donnell,,Free Agent Signing
24,1999,7,signings,--,Jaguars  Jaguars,07/28,Scott Von der Ahe,,Free Agent Signing
0,1999,8,signings,--,Giants  Giants,08/31,Brandon Sanders,,Free Agent Signing
1,1999,8,signings,--,Bengals  Bengals,08/31,Eddie Howard,,Free Agent Signing
2,1999,8,signings,--,Lions  Lions,08/31,Andre Collins,,Free Agent Signing
3,1999,8,signings,--,Chiefs  Chiefs,08/30,Ralph Tamm,,Free Agent Signing
4,1999,8,signings,--,Patriots  Patriots,08/27,Terry Allen,,Free Agent Signing
5,1999,8,signings,--,Bears  Bears,08/26,Brian Gowins,,Free Agent Signing
6,1999,8,signings,--,Browns  Browns,08/26,Jamie Martin,,Free Agent Signing
7,1999,8,signings,--,Lions  Lions,08/20,Kelvin Kinney,,Free Agent Signing
8,1999,8,signings,--,Redskins  Redskins,08/20,Irving Fryar,,Free Agent Signing
9,1999,8,signings,--,Browns  Browns,08/20,Chris Boniol,,Free Agent Signing
10,1999,8,signings,--,Titans  Titans,08/20,Jose White,,Free Agent Signing
11,1999,8,signings,--,Cardinals  Cardinals,08/19,Todd Stewart,,Free Agent Signing
12,1999,8,signings,--,Buccaneers  Buccaneers,08/19,Curtis Anderson,,Free Agent Signing
13,1999,8,signings,--,Broncos  Broncos,08/18,Chuck Clements,,Free Agent Signing
14,1999,8,signings,--,Jets  Jets,08/18,Quinn Early,,Free Agent Signing
15,1999,8,signings,--,Colts  Colts,08/18,Vaughn Hebron,,Free Agent Signing
16,1999,8,signings,--,Saints  Saints,08/18,Roderick Lewis,,Free Agent Signing
17,1999,8,signings,--,Raiders  Raiders,08/18,Tim Kalal,,Free Agent Signing
18,1999,8,signings,--,Lions  Lions,08/17,Steve Morrison,,Free Agent Signing
19,1999,8,signings,--,Ravens  Ravens,08/17,Stoney Case,,Free Agent Signing
20,1999,8,signings,--,Eagles  Eagles,08/17,Norm Johnson,,Free Agent Signing
21,1999,8,signings,--,Dolphins  Dolphins,08/17,Kio Sanford,,Free Agent Signing
22,1999,8,signings,--,Browns  Browns,08/17,Matt Willig,,Free Agent Signing
23,1999,8,signings,--,Raiders  Raiders,08/17,Paul Justin,,Free Agent Signing
24,1999,8,signings,--,Patriots  Patriots,08/16,Henry Lusk,,Free Agent Signing
0,1999,9,signings,--,Eagles  Eagles,09/30,Robert Barr,,Practice Squad
1,1999,9,signings,--,Eagles  Eagles,09/30,Jamie Reader,,Practice Squad
2,1999,9,signings,--,Saints  Saints,09/30,Uhuru Hamiter,,Practice Squad
3,1999,9,signings,--,Seahawks  Seahawks,09/30,Scott Fields,,Practice Squad
4,1999,9,signings,--,Patriots  Patriots,09/29,Jerry Ellison,,Free Agent Signing
5,1999,9,signings,--,Bears  Bears,09/29,Scott Dragos,,Practice Squad
6,1999,9,signings,--,Colts  Colts,09/29,Tim Ridder,,Practice Squad
7,1999,9,signings,--,Jets  Jets,09/29,Jermaine Wiggins,,Practice Squad
8,1999,9,signings,--,Colts  Colts,09/29,Paul Shields,,Free Agent Signing
9,1999,9,signings,--,Jaguars  Jaguars,09/29,Chester Burnett,,Free Agent Signing
10,1999,9,signings,--,Bengals  Bengals,09/29,Michael Basnight,,Free Agent Signing
11,1999,9,signings,--,Seahawks  Seahawks,09/29,Brian Walker,,Free Agent Signing
12,1999,9,signings,--,Titans  Titans,09/29,Larry Brown,,Free Agent Signing
13,1999,9,signings,--,Browns  Browns,09/29,Rashaan Salaam,,Free Agent Signing
14,1999,9,signings,--,Titans  Titans,09/29,Keith Embray,,Practice Squad
15,1999,9,signings,--,Browns  Browns,09/29,David Dunn,,Free Agent Signing
16,1999,9,signings,--,49ers  49ers,09/29,Chris Draft,,Practice Squad
17,1999,9,signings,--,Falcons  Falcons,09/28,Shawn Swayda,,Free Agent Signing
18,1999,9,signings,--,Ravens  Ravens,09/28,Obafemi Ayanbadejo,,Free Agent Signing
19,1999,9,signings,--,Eagles  Eagles,09/28,Ed Smith,,Free Agent Signing
20,1999,9,signings,--,Jaguars  Jaguars,09/28,Rahmaan Streater,,Practice Squad
21,1999,9,signings,--,Buccaneers  Buccaneers,09/28,DeMarcus Curry,,Practice Squad
22,1999,9,signings,--,Broncos  Broncos,09/28,Jason Watts,,Practice Squad
23,1999,9,signings,--,Rams  Rams,09/27,Clifton Crosby,,Practice Squad
24,1999,9,signings,--,Dolphins  Dolphins,09/27,Tom Hutton,,Free Agent Signing
0,1999,10,signings,--,Colts  Colts,10/29,Joshua Keur,,Practice Squad
1,1999,10,signings,--,Colts  Colts,10/28,Leeland McElroy,,Free Agent Signing
2,1999,10,signings,--,Colts  Colts,10/28,Scott Greene,,Free Agent Signing
3,1999,10,signings,--,Cowboys  Cowboys,10/28,Ben Fricke,,Practice Squad
4,1999,10,signings,--,Cowboys  Cowboys,10/28,Ryan Neufeld,,Free Agent Signing
5,1999,10,signings,--,Steelers  Steelers,10/28,Matt Cushing,,Free Agent Signing
6,1999,10,signings,--,Broncos  Broncos,10/27,Glenn Rountree,,Practice Squad
7,1999,10,signings,--,Patriots  Patriots,10/27,Ron Merkerson,,Practice Squad
8,1999,10,signings,--,Patriots  Patriots,10/27,Jeff Kopp,,Free Agent Signing
9,1999,10,signings,--,Saints  Saints,10/27,Corey Harris,,Practice Squad
10,1999,10,signings,--,Chargers  Chargers,10/27,Reggie Nelson,,Practice Squad
11,1999,10,signings,--,Packers  Packers,10/27,Steve Johnson,,Practice Squad
12,1999,10,signings,--,Cowboys  Cowboys,10/27,Lemanski Hall,,Free Agent Signing
13,1999,10,signings,--,Cowboys  Cowboys,10/27,Chris Akins,,Free Agent Signing
14,1999,10,signings,--,Dolphins  Dolphins,10/27,Scott Zolak,,Free Agent Signing
15,1999,10,signings,--,Raiders  Raiders,10/27,Tim Kohn,,Practice Squad
16,1999,10,signings,--,Seahawks  Seahawks,10/27,Brian Milne,,Free Agent Signing
17,1999,10,signings,--,Vikings  Vikings,10/27,Cory Withrow,,Free Agent Signing
18,1999,10,signings,--,Dolphins  Dolphins,10/26,Ben Adams,,Practice Squad
19,1999,10,signings,--,Giants  Giants,10/26,Brandon Sanders,,Free Agent Signing
20,1999,10,signings,--,Giants  Giants,10/26,Tre Thomas,,Practice Squad
21,1999,10,signings,--,Titans  Titans,10/26,Rod Walker,,Practice Squad
22,1999,10,signings,--,Redskins  Redskins,10/26,James Francis,,Free Agent Signing
23,1999,10,signings,--,Redskins  Redskins,10/26,Mark McMillian,,Free Agent Signing
24,1999,10,signings,--,Jets  Jets,10/26,Olrick Johnson,,Free Agent Signing
0,1999,11,signings,--,Ravens  Ravens,11/30,Lovett Purnell,,Free Agent Signing
1,1999,11,signings,--,Saints  Saints,11/30,Robert Newkirk,,Free Agent Signing
2,1999,11,signings,--,Jaguars  Jaguars,11/29,Chris White,,Free Agent Signing
3,1999,11,signings,--,Dolphins  Dolphins,11/29,Brian Edwards,,Free Agent Signing
4,1999,11,signings,--,Giants  Giants,11/27,O.J. Childress,,Free Agent Signing
5,1999,11,signings,--,Vikings  Vikings,11/27,Olrick Johnson,,Free Agent Signing
6,1999,11,signings,--,Giants  Giants,11/26,Tre Thomas,,Free Agent Signing
7,1999,11,signings,--,Redskins  Redskins,11/26,Myron Smith,,Practice Squad
8,1999,11,signings,--,Seahawks  Seahawks,11/25,Robert Williams,,Free Agent Signing
9,1999,11,signings,--,Colts  Colts,11/24,Shane Bonham,,Free Agent Signing
10,1999,11,signings,--,Colts  Colts,11/24,Eric Smedley,,Free Agent Signing
11,1999,11,signings,--,Saints  Saints,11/24,Jake Delhomme,,Free Agent Signing
12,1999,11,signings,--,Eagles  Eagles,11/24,Dietrich Jells,,Free Agent Signing
13,1999,11,signings,--,Rams  Rams,11/24,Jeremy McKinney,,Practice Squad
14,1999,11,signings,--,Lions  Lions,11/24,Andre Dixon,,Free Agent Signing
15,1999,11,signings,--,Raiders  Raiders,11/24,Bobby Brooks,,Practice Squad
16,1999,11,signings,--,Buccaneers  Buccaneers,11/24,Ken Blackman,,Free Agent Signing
17,1999,11,signings,--,Browns  Browns,11/24,James Dearth,,Practice Squad
18,1999,11,signings,--,Browns  Browns,11/24,Madre Hill,,Free Agent Signing
19,1999,11,signings,--,Browns  Browns,11/24,Tyrone Rogers,,Free Agent Signing
20,1999,11,signings,--,Vikings  Vikings,11/24,Antonio Banks,,Free Agent Signing
21,1999,11,signings,--,Packers  Packers,11/23,Craig Heimburger,,Free Agent Signing
22,1999,11,signings,--,Jaguars  Jaguars,11/23,Ryan Thelwell,,Practice Squad
23,1999,11,signings,--,Jets  Jets,11/23,Siupeli Malamala,,Free Agent Signing
24,1999,11,signings,--,Chargers  Chargers,11/23,John Reeves,,Free Agent Signing
0,1999,12,signings,--,Ravens  Ravens,12/31,Clarence Love,,Free Agent Signing
1,1999,12,signings,--,Bears  Bears,12/31,Keno Hills,,Free Agent Signing
2,1999,12,signings,--,Raiders  Raiders,12/31,Tim Kohn,,Free Agent Signing
3,1999,12,signings,--,Steelers  Steelers,12/31,Reggie Lowe,,Free Agent Signing
4,1999,12,signings,--,Broncos  Broncos,12/31,Jason Suttle,,Free Agent Signing
5,1999,12,signings,--,Chargers  Chargers,12/30,Reggie Nelson,,Free Agent Signing
6,1999,12,signings,--,Cardinals  Cardinals,12/30,Justin Lucas,,Free Agent Signing
7,1999,12,signings,--,Raiders  Raiders,12/29,Barry Stokes,,Free Agent Signing
8,1999,12,signings,--,Lions  Lions,12/29,Chris Cummings,,Practice Squad
9,1999,12,signings,--,Dolphins  Dolphins,12/29,Chris Hanson,,Practice Squad
10,1999,12,signings,--,Panthers  Panthers,12/29,Lamont Green,,Practice Squad
11,1999,12,signings,--,Patriots  Patriots,12/29,Rico Clark,,Free Agent Signing
12,1999,12,signings,--,Patriots  Patriots,12/29,Corey Ivy,,Practice Squad
13,1999,12,signings,--,Packers  Packers,12/29,Rashaan Salaam,,Free Agent Signing
14,1999,12,signings,--,Packers  Packers,12/29,Jamel Williams,,Free Agent Signing
15,1999,12,signings,--,49ers  49ers,12/29,Dwayne Ledford,,Free Agent Signing
16,1999,12,signings,--,Dolphins  Dolphins,12/29,Kevin McKenzie,,Free Agent Signing
17,1999,12,signings,--,Jaguars  Jaguars,12/29,Chester Burnett,,Practice Squad
18,1999,12,signings,--,Buccaneers  Buccaneers,12/29,Fred McAfee,,Free Agent Signing
19,1999,12,signings,--,Packers  Packers,12/28,Jon Harris,,Free Agent Signing
20,1999,12,signings,--,Jets  Jets,12/28,Dennis O'Sullivan,,Free Agent Signing
21,1999,12,signings,--,Bears  Bears,12/28,Cordell Taylor,,Free Agent Signing
22,1999,12,signings,--,Cowboys  Cowboys,12/28,Kendrick Gholston,,Practice Squad
23,1999,12,signings,--,Panthers  Panthers,12/28,Dialleo Burks,,Free Agent Signing
24,1999,12,signings,--,Panthers  Panthers,12/28,Kory Minor,,Free Agent Signing
0,2000,1,signings,--,Buccaneers  Buccaneers,01/22,DeMarcus Curry,,Free Agent Signing
1,2000,1,signings,--,Buccaneers  Buccaneers,01/22,Antony Jordan,,Free Agent Signing
2,2000,1,signings,--,Titans  Titans,01/14,Craig Page,,Free Agent Signing
3,2000,1,signings,--,Vikings  Vikings,01/12,Darryl Daniel,,Practice Squad
4,2000,1,signings,--,Vikings  Vikings,01/11,Gregg Briggs,,Free Agent Signing
5,2000,1,signings,--,Seahawks  Seahawks,01/08,Rufus French,,Free Agent Signing
6,2000,1,signings,--,Vikings  Vikings,01/06,Corey Miller,,Free Agent Signing
7,2000,1,signings,--,Dolphins  Dolphins,01/05,Marlon Barnes,,Practice Squad
8,2000,1,signings,--,Lions  Lions,01/04,Jeff Fox,,Free Agent Signing
9,2000,1,signings,--,Jaguars  Jaguars,01/04,Joe Patton,,Free Agent Signing
10,2000,1,signings,--,Jaguars  Jaguars,01/04,Chester Burnett,,Free Agent Signing
11,2000,1,signings,--,Falcons  Falcons,01/01,Ben Huff,,Free Agent Signing
12,2000,1,signings,--,Packers  Packers,01/01,Tyrone Goodson,,Free Agent Signing
13,2000,1,signings,--,Patriots  Patriots,01/01,Corey Ivy,,Free Agent Signing
0,2000,2,signings,--,Patriots  Patriots,02/29,Raymont Harris,,Free Agent Signing
1,2000,2,signings,--,Buccaneers  Buccaneers,02/29,Lovett Purnell,,Free Agent Signing
2,2000,2,signings,Colts  Colts,Colts  Colts,02/29,Waverly Jackson,,Exclusive Rights Signing
3,2000,2,signings,--,Raiders  Raiders,02/29,David Dunn,,Free Agent Signing
4,2000,2,signings,Redskins  Redskins,Redskins  Redskins,02/29,Curtis Buckley,,Unrestricted Free Agent Signing
5,2000,2,signings,Lions  Lions,Redskins  Redskins,02/29,Mark Carrier,,Unrestricted Free Agent Signing
6,2000,2,signings,Saints  Saints,Redskins  Redskins,02/29,Kevin Mitchell,,Unrestricted Free Agent Signing
7,2000,2,signings,Redskins  Redskins,Redskins  Redskins,02/29,Cory Raymer,,Unrestricted Free Agent Signing
8,2000,2,signings,Redskins  Redskins,Redskins  Redskins,02/29,Keith Sims,,Unrestricted Free Agent Signing
9,2000,2,signings,Rams  Rams,Vikings  Vikings,02/29,Chris Thomas,,Unrestricted Free Agent Signing
10,2000,2,signings,Chiefs  Chiefs,Chiefs  Chiefs,02/29,Bracy Walker,,Unrestricted Free Agent Signing
11,2000,2,signings,Giants  Giants,Dolphins  Dolphins,02/29,Scott Galyon,,Unrestricted Free Agent Signing
12,2000,2,signings,Ravens  Ravens,Ravens  Ravens,02/29,Anthony Mitchell,,Exclusive Rights Signing
13,2000,2,signings,Jaguars  Jaguars,Steelers  Steelers,02/29,Rich Tylski,,Unrestricted Free Agent Signing
14,2000,2,signings,--,Panthers  Panthers,02/29,Karl Hankton,,Free Agent Signing
15,2000,2,signings,Ravens  Ravens,Browns  Browns,02/28,Errict Rhett,,Unrestricted Free Agent Signing
16,2000,2,signings,--,Chargers  Chargers,02/28,Darren Mickell,,Free Agent Signing
17,2000,2,signings,Cowboys  Cowboys,Vikings  Vikings,02/28,Lemanski Hall,,Unrestricted Free Agent Signing
18,2000,2,signings,--,Bears  Bears,02/28,Chris Ward,,Free Agent Signing
19,2000,2,signings,Broncos  Broncos,Raiders  Raiders,02/28,Tory James,,Unrestricted Free Agent Signing
20,2000,2,signings,--,Raiders  Raiders,02/28,Darrien Gordon,,Free Agent Signing
21,2000,2,signings,Browns  Browns,Browns  Browns,02/28,Raymond Jackson,,Unrestricted Free Agent Signing
22,2000,2,signings,Patriots  Patriots,Dolphins  Dolphins,02/28,Heath Irwin,,Unrestricted Free Agent Signing
23,2000,2,signings,--,Chargers  Chargers,02/28,Reggie Jones,,Free Agent Signing
24,2000,2,signings,Saints  Saints,Saints  Saints,02/25,Phil Clarke,,Exclusive Rights Signing
0,2000,3,signings,Ravens  Ravens,Ravens  Ravens,03/31,Keith Washington,,Unrestricted Free Agent Signing
1,2000,3,signings,Bills  Bills,Bills  Bills,03/31,Ruben Brown,,Unrestricted Free Agent Signing
2,2000,3,signings,--,Cowboys  Cowboys,03/31,Jorge Diaz,,Free Agent Signing
3,2000,3,signings,--,Giants  Giants,03/30,Mark Nori,,Free Agent Signing
4,2000,3,signings,--,Giants  Giants,03/30,Anthony Tucker,,Free Agent Signing
