Team,Name,Position,College,Vet
Kansas City Chiefs,Micah Mazzccua,OL,Nebraska,
Kansas City Chiefs,Blaise Sparks,OL,Delaware,
Kansas City Chiefs,Jake Wiley,OL,Houston,
Kansas City Chiefs,Cameron Bergeron,LB,Duke,
Kansas City Chiefs,Morice Blackwell Jr.,LB,Texas A&M,
Kansas City Chiefs,Corey Flagg Jr.,LB,Missouri,
Kansas City Chiefs,Cooper McDonald,LB,TCU,
Kansas City Chiefs,Austin Moore,LB,Kansas State,
Kansas City Chiefs,Michael Moore,LB,Alabama-Birmingham,
Kansas City Chiefs,Greg Penn,LB,Louisiana State,
Kansas City Chiefs,Tristan Sinclair,LB,Stanford,
Kansas City Chiefs,Ahmad Walker,LB,SMU,
Kansas City Chiefs,Davonte Brown,CB,Florida State,
Kansas City Chiefs,Sean Fresch,CB,Rice,
Kansas City Chiefs,Devin Hembry,DB,North Dakota,
Kansas City Chiefs,Robert Jones III,CB,Howard,
Kansas City Chiefs,Cameron Watts,CB,New Mexico,
Kansas City Chiefs,Ajani Carter,DB,Houston,
Kansas City Chiefs,Joseph Charleston,S,Missouri,
Kansas City Chiefs,Marvin Grant,S,Kansas,
Kansas City Chiefs,Quinten Johnson,S,Michigan,
Kansas City Chiefs,Noa Pola-Gates,S,New Mexico,
Kansas City Chiefs,Kenyatta Watson,S,Georgia State,
Kansas City Chiefs,Major Williams,S,Carson-Newman,
Kansas City Chiefs,Chace Davis,DE,Bowling Green,
Kansas City Chiefs,Nusi Malani,DE,Washington State,
Kansas City Chiefs,Nate Matlack,DE,Pittsburgh,
Kansas City Chiefs,RJ Oben,DE,Notre Dame,
Kansas City Chiefs,Jireh Ojata,DE,Purdue,
Kansas City Chiefs,Marley Cook,DT,Miami (FL),
Kansas City Chiefs,Dal'Mont Gourdine,DT,Connecticut,
Kansas City Chiefs,Kevin Hester Jr.,NT,North Carolina,
Kansas City Chiefs,Gavin Meyer,DT,Southern California,
Kansas City Chiefs,Nate Muamba,DT,Akron,
Kansas City Chiefs,Malcolm Ray,DT,Rutgers,
Kansas City Chiefs,Trey Flint,LS,Missouri,
Kansas City Chiefs,Chris Tennant,K,Kansas Sate,
Baltimore Ravens,Brayden Schager,QB,Hawaii,
Baltimore Ravens,Collin Schlee,QB,Virginia Tech,
