Team,Name,Position,College,Vet,
Arizona Cardinals,Taulia Tagovailoa,QB,Maryland,,
Atlanta Falcons,Daniel Abraham,LB,Villanova,,
Atlanta Falcons,Bradlee Anae,DL,Utah,Y,
Atlanta Falcons,David Anenih,LB,Houston,Y,
Atlanta Falcons,Tarik Black,WR,Texas,Y,
Atlanta Falcons,Dane Cruikshank,S,Arizona,Y,
Atlanta Falcons,Dylan Drummond,WR,Eastern Michigan,Y,
Atlanta Falcons,Odieu Hiliare,WR,Bowling Green,,
Atlanta Falcons,Sean McKeon,TE,Michigan,Y,
Atlanta Falcons,Scott Ochsner,OL,SUNY Brockport,,
